ano,cod_UF_res,casos,abbrev_state,name_state,code_region,name_region
1997,29,571,BA,Bahia,2,Nordeste
1997,31,1711,MG,Minas Gerais,3,Sudeste
1997,32,352,ES,Espirito Santo,3,Sudeste
1997,33,3892,RJ,Rio De Janeiro,3,Sudeste
1997,35,11173,SP,São Paulo,3,Sudeste
1997,41,1327,PR,Paraná,4,Sul
1997,42,1109,SC,Santa Catarina,4,Sul
1997,43,2027,RS,Rio Grande Do Sul,4,Sul
1997,50,272,MS,Mato Grosso Do Sul,5,Centro Oeste
1997,51,272,MT,Mato Grosso,5,Centro Oeste
1997,52,537,GO,Goiás,5,Centro Oeste
1997,53,367,DF,Distrito Federal,5,Centro Oeste
1998,11,90,RO,Rondônia,1,Norte
1998,12,17,AC,Acre,1,Norte
1998,13,213,AM,Amazonas,1,Norte
1998,14,20,RR,Roraima,1,Norte
1998,15,282,PA,Pará,1,Norte
1998,16,23,AP,Amapá,1,Norte
1998,17,47,TO,Tocantins,1,Norte
1998,21,275,MA,Maranhão,2,Nordeste
1998,22,98,PI,Piauí,2,Nordeste
1998,23,605,CE,Ceará,2,Nordeste
1998,24,169,RN,Rio Grande Do Norte,2,Nordeste
1998,25,185,PB,Paraíba,2,Nordeste
1998,26,747,PE,Pernambuco,2,Nordeste
1998,27,110,AL,Alagoas,2,Nordeste
1998,28,97,SE,Sergipe,2,Nordeste
1998,29,544,BA,Bahia,2,Nordeste
1998,31,1743,MG,Minas Gerais,3,Sudeste
1998,32,406,ES,Espirito Santo,3,Sudeste
1998,33,4089,RJ,Rio De Janeiro,3,Sudeste
1998,35,12177,SP,São Paulo,3,Sudeste
1998,41,1387,PR,Paraná,4,Sul
1998,42,1397,SC,Santa Catarina,4,Sul
1998,43,2784,RS,Rio Grande Do Sul,4,Sul
1998,50,271,MS,Mato Grosso Do Sul,5,Centro Oeste
1998,51,263,MT,Mato Grosso,5,Centro Oeste
1998,52,460,GO,Goiás,5,Centro Oeste
1998,53,337,DF,Distrito Federal,5,Centro Oeste
1999,11,76,RO,Rondônia,1,Norte
1999,12,24,AC,Acre,1,Norte
1999,13,272,AM,Amazonas,1,Norte
1999,14,24,RR,Roraima,1,Norte
1999,15,285,PA,Pará,1,Norte
1999,16,32,AP,Amapá,1,Norte
1999,17,47,TO,Tocantins,1,Norte
1999,21,264,MA,Maranhão,2,Nordeste
1999,22,107,PI,Piauí,2,Nordeste
1999,23,542,CE,Ceará,2,Nordeste
1999,24,129,RN,Rio Grande Do Norte,2,Nordeste
1999,25,233,PB,Paraíba,2,Nordeste
1999,26,662,PE,Pernambuco,2,Nordeste
1999,27,132,AL,Alagoas,2,Nordeste
1999,28,102,SE,Sergipe,2,Nordeste
1999,29,649,BA,Bahia,2,Nordeste
1999,31,1745,MG,Minas Gerais,3,Sudeste
1999,32,402,ES,Espirito Santo,3,Sudeste
1999,33,3693,RJ,Rio De Janeiro,3,Sudeste
1999,35,10563,SP,São Paulo,3,Sudeste
1999,41,1449,PR,Paraná,4,Sul
1999,42,1303,SC,Santa Catarina,4,Sul
1999,43,2525,RS,Rio Grande Do Sul,4,Sul
1999,50,246,MS,Mato Grosso Do Sul,5,Centro Oeste
1999,51,183,MT,Mato Grosso,5,Centro Oeste
1999,52,444,GO,Goiás,5,Centro Oeste
1999,53,338,DF,Distrito Federal,5,Centro Oeste
2000,11,140,RO,Rondônia,1,Norte
2000,12,26,AC,Acre,1,Norte
2000,13,302,AM,Amazonas,1,Norte
2000,14,56,RR,Roraima,1,Norte
2000,15,342,PA,Pará,1,Norte
2000,16,33,AP,Amapá,1,Norte
2000,17,60,TO,Tocantins,1,Norte
2000,21,342,MA,Maranhão,2,Nordeste
2000,22,171,PI,Piauí,2,Nordeste
2000,23,566,CE,Ceará,2,Nordeste
2000,24,181,RN,Rio Grande Do Norte,2,Nordeste
2000,25,246,PB,Paraíba,2,Nordeste
2000,26,799,PE,Pernambuco,2,Nordeste
2000,27,156,AL,Alagoas,2,Nordeste
2000,28,115,SE,Sergipe,2,Nordeste
2000,29,974,BA,Bahia,2,Nordeste
2000,31,2582,MG,Minas Gerais,3,Sudeste
2000,32,535,ES,Espirito Santo,3,Sudeste
2000,33,4643,RJ,Rio De Janeiro,3,Sudeste
2000,35,15510,SP,São Paulo,3,Sudeste
2000,41,1730,PR,Paraná,4,Sul
2000,42,1714,SC,Santa Catarina,4,Sul
2000,43,3532,RS,Rio Grande Do Sul,4,Sul
2000,50,285,MS,Mato Grosso Do Sul,5,Centro Oeste
2000,51,386,MT,Mato Grosso,5,Centro Oeste
2000,52,651,GO,Goiás,5,Centro Oeste
2000,53,421,DF,Distrito Federal,5,Centro Oeste
2001,11,156,RO,Rondônia,1,Norte
2001,12,30,AC,Acre,1,Norte
2001,13,360,AM,Amazonas,1,Norte
2001,14,54,RR,Roraima,1,Norte
2001,15,528,PA,Pará,1,Norte
2001,16,43,AP,Amapá,1,Norte
2001,17,64,TO,Tocantins,1,Norte
2001,21,354,MA,Maranhão,2,Nordeste
2001,22,162,PI,Piauí,2,Nordeste
2001,23,641,CE,Ceará,2,Nordeste
2001,24,173,RN,Rio Grande Do Norte,2,Nordeste
2001,25,244,PB,Paraíba,2,Nordeste
2001,26,936,PE,Pernambuco,2,Nordeste
2001,27,220,AL,Alagoas,2,Nordeste
2001,28,94,SE,Sergipe,2,Nordeste
2001,29,920,BA,Bahia,2,Nordeste
2001,31,2186,MG,Minas Gerais,3,Sudeste
2001,32,548,ES,Espirito Santo,3,Sudeste
2001,33,4497,RJ,Rio De Janeiro,3,Sudeste
2001,35,13949,SP,São Paulo,3,Sudeste
2001,41,1679,PR,Paraná,4,Sul
2001,42,1819,SC,Santa Catarina,4,Sul
2001,43,3518,RS,Rio Grande Do Sul,4,Sul
2001,50,303,MS,Mato Grosso Do Sul,5,Centro Oeste
2001,51,356,MT,Mato Grosso,5,Centro Oeste
2001,52,754,GO,Goiás,5,Centro Oeste
2001,53,342,DF,Distrito Federal,5,Centro Oeste
2002,11,202,RO,Rondônia,1,Norte
2002,12,47,AC,Acre,1,Norte
2002,13,443,AM,Amazonas,1,Norte
2002,14,37,RR,Roraima,1,Norte
2002,15,621,PA,Pará,1,Norte
2002,16,86,AP,Amapá,1,Norte
2002,17,87,TO,Tocantins,1,Norte
2002,21,403,MA,Maranhão,2,Nordeste
2002,22,187,PI,Piauí,2,Nordeste
2002,23,760,CE,Ceará,2,Nordeste
2002,24,174,RN,Rio Grande Do Norte,2,Nordeste
2002,25,311,PB,Paraíba,2,Nordeste
2002,26,1232,PE,Pernambuco,2,Nordeste
2002,27,234,AL,Alagoas,2,Nordeste
2002,28,127,SE,Sergipe,2,Nordeste
2002,29,1353,BA,Bahia,2,Nordeste
2002,31,3258,MG,Minas Gerais,3,Sudeste
2002,32,784,ES,Espirito Santo,3,Sudeste
2002,33,5735,RJ,Rio De Janeiro,3,Sudeste
2002,35,11944,SP,São Paulo,3,Sudeste
2002,41,2261,PR,Paraná,4,Sul
2002,42,2481,SC,Santa Catarina,4,Sul
2002,43,4344,RS,Rio Grande Do Sul,4,Sul
2002,50,463,MS,Mato Grosso Do Sul,5,Centro Oeste
2002,51,562,MT,Mato Grosso,5,Centro Oeste
2002,52,828,GO,Goiás,5,Centro Oeste
2002,53,566,DF,Distrito Federal,5,Centro Oeste
2003,11,213,RO,Rondônia,1,Norte
2003,12,31,AC,Acre,1,Norte
2003,13,404,AM,Amazonas,1,Norte
2003,14,99,RR,Roraima,1,Norte
2003,15,695,PA,Pará,1,Norte
2003,16,51,AP,Amapá,1,Norte
2003,17,88,TO,Tocantins,1,Norte
2003,21,496,MA,Maranhão,2,Nordeste
2003,22,196,PI,Piauí,2,Nordeste
2003,23,819,CE,Ceará,2,Nordeste
2003,24,204,RN,Rio Grande Do Norte,2,Nordeste
2003,25,298,PB,Paraíba,2,Nordeste
2003,26,1156,PE,Pernambuco,2,Nordeste
2003,27,261,AL,Alagoas,2,Nordeste
2003,28,162,SE,Sergipe,2,Nordeste
2003,29,1265,BA,Bahia,2,Nordeste
2003,31,3025,MG,Minas Gerais,3,Sudeste
2003,32,738,ES,Espirito Santo,3,Sudeste
2003,33,5346,RJ,Rio De Janeiro,3,Sudeste
2003,35,11426,SP,São Paulo,3,Sudeste
2003,41,2078,PR,Paraná,4,Sul
2003,42,2287,SC,Santa Catarina,4,Sul
2003,43,4468,RS,Rio Grande Do Sul,4,Sul
2003,50,452,MS,Mato Grosso Do Sul,5,Centro Oeste
2003,51,608,MT,Mato Grosso,5,Centro Oeste
2003,52,812,GO,Goiás,5,Centro Oeste
2003,53,654,DF,Distrito Federal,5,Centro Oeste
